poi_id,longitude,latitude,poi_code
22v-222@62j-sgx-dgk,-71.093108,42.268179,711310
22w-222@62j-sj4-6hq,-71.085695,42.342878,711310
22z-222@62j-sz9-z4v,-71.090613,42.396297,711310
239-223@62j-sj4-mzf,-71.065348,42.350378,711310
23d-222@62j-shz-4y9,-71.060786,42.356313,711310
23v-222@62k-phm-8gk,-71.156973,42.261826,711310
245-222@62j-sjs-mzf,-71.153997,42.380313,711310
24z-222@62j-pst-49z,-70.879729,42.548198,711310
257-223@62j-sgk-3h5,-71.132612,42.352805,711310
zzw-222@62j-qv3-hkf,-70.812169,42.240283,711310
zzw-222@62j-rkr-8vz,-71.214126,42.780272,711310
zzw-222@62j-scd-wx5,-71.240082,42.382658,711310
zzw-222@62j-sf7-nbk,-71.132472,42.442479,711310
zzw-222@62j-sgf-d7q,-71.11311,42.346295,711310
zzw-222@62j-sgg-ckf,-71.095694,42.347401,711310
zzw-222@62j-sgg-ct9,-71.096982,42.346446,711310
zzw-222@62j-sgj-fj9,-71.137418,42.35123,711310
zzw-222@62j-sgr-snq,-71.155728,42.281228,711310
zzw-222@62j-shc-kpv,-71.167685,42.358587,711310
zzw-222@62j-shx-pjv,-71.071697,42.363651,711310
zzw-222@62j-sj3-nyv,-71.084221,42.347596,711310
zzw-222@62j-sj4-87q,-71.087011,42.346705,711310
zzw-222@62j-sjh-n5z,-71.061929,42.297271,711310
zzw-222@62j-sjp-fcq,-71.080775,42.334189,711310
zzw-222@62j-sy5-y5f,-70.974948,42.459113,711310
zzw-222@62j-sz7-68v,-71.075851,42.4102,711310
zzw-222@62j-szt-3kf,-70.923613,42.524883,711310
zzw-222@62k-nzt-3yv,-71.265983,42.094258,711310
zzw-222@62k-p26-sqz,-71.255467,42.030348,711310
zzw-222@62k-p87-qj9,-71.115905,42.150432,711310
zzw-222@62k-p9m-tsq,-71.030847,42.269843,711310
zzw-223@62j-pst-73q,-70.878847,42.551354,711310
zzw-223@62j-q7h-zmk,-70.816568,42.843486,711310
zzw-223@62j-shz-n3q,-71.03592,42.348578,711310
zzw-223@62j-sk3-28v,-71.11779,42.382425,711310
zzw-223@62k-26s-cyv,-70.652807,41.92967,711310
zzw-224@62j-t5w-p5f,-71.351101,42.636992,711310
zzw-225@62j-sj4-68v,-71.086342,42.340898,711310
zzy-222@62j-sbv-skf,-71.223945,42.447004,711310
zzy-222@62j-sj4-grk,-71.073597,42.357294,711310
zzy-222@62j-sjs-kmk,-71.147956,42.378829,711310
222-222@62j-pjm-p5f,-70.660089,42.591076,712110
222-222@62j-pss-35z,-70.891649,42.520405,712110
222-222@62j-pvd-mp9,-70.849478,42.567746,712110
222-222@62j-qsn-5s5,-70.910794,42.237503,712110
222-222@62j-r5s-5vf,-70.851405,42.503204,712110
222-222@62j-rkr-xyv,-71.199939,42.789362,712110
222-222@62j-sbv-hdv,-71.214099,42.436744,712110
222-222@62j-sd6-s3q,-71.326397,42.427086,712110
222-222@62j-sgf-cnq,-71.116663,42.350614,712110
222-222@62j-sgj-2kz,-71.094041,42.339372,712110
222-222@62j-shd-xnq,-71.211788,42.373471,712110
222-222@62j-sn8-6p9,-71.541365,42.44997,712110
222-222@62j-snz-hqz,-71.343436,42.457576,712110
222-222@62j-svf-rhq,-71.21965,42.610929,712110
222-222@62j-t64-fvf,-71.315279,42.644624,712110
222-222@62j-t65-52k,-71.312832,42.64512,712110
222-222@62j-w9k-jgk,-70.95261,43.143413,712110
222-222@62j-wg2-kvf,-70.714115,43.045279,712110
222-222@62k-26r-hyv,-70.66541,41.953905,712110
222-222@62k-fhh-m6k,-71.570873,42.608301,712110
222-222@62k-p7t-mc5,-71.118697,42.218484,712110
222-222@62k-phv-2tv,-71.142439,42.163276,712110
222-223@62j-psx-jgk,-70.892613,42.556786,712110
222-223@62j-shx-54v,-71.062196,42.366285,712110
222-223@62k-26r-hyv,-70.665387,41.953901,712110
222-223@62k-p2d-c5z,-71.245957,42.067616,712110
222-223@62k-p7t-mc5,-71.118734,42.218481,712110
222-223@62k-qcf-kzz,-70.767144,41.703068,712110
222-224@62j-sgj-2kz,-71.094045,42.339361,712110
222-224@62j-shx-s89,-71.070916,42.367716,712110
222-224@62j-t62-6p9,-71.353633,42.629984,712110
222-224@62j-w9k-jgk,-70.952494,43.143611,712110
222-226@62j-scq-9zz,-71.291451,42.463204,712110
223-222@62j-psc-v2k,-70.887119,42.603868,712110
223-222@62j-ptf-xbk,-70.974799,42.560887,712110
223-222@62j-sf5-pqf,-71.135891,42.454552,712110
223-222@62j-sh4-5zz,-71.194987,42.348092,712110
223-222@62j-sh9-7kf,-71.185718,42.366454,712110
223-222@62j-sh9-m6k,-71.19872,42.368973,712110
223-222@62j-shy-mkz,-71.048735,42.350858,712110
223-222@62j-sk5-6x5,-71.152383,42.415741,712110
223-222@62j-t65-5cq,-71.312016,42.645428,712110
223-222@62k-p7c-ty9,-71.039706,42.131823,712110
223-222@62k-p9j-hyv,-71.065097,42.264577,712110
223-222@62k-r7g-snq,-71.505661,42.394497,712110
223-223@62k-25y-syv,-70.625345,41.938082,712110
